### 받은 회사 31개 / 요청 31개
- 000990 DB하이텍 | 산업:반도체와반도체장비 | 설립:- | 설명:"동사는 1953년 설립되어 1975년 유가증권시장에 상장한 8인치 순수 파운드리 기업임."
- 278280 천보 | 산업:전기제품 | 설립:- | 설명:"동사는 2007년 설립되어 2019년 코스닥시장에 상장된 중견기업으로, 종속회사 3개사를 보유하고 있음."
- 007700 F&F홀딩스 | 산업:섬유,의류,신발,호화품 | 설립:- | 설명:"동사는 1972년 설립, 1984년 유가증권시장 상장 후 2021년 패션사업부문을 인적분할하여 존속법인 에프앤에프홀딩스와 신설법인 에프앤에프로 분리함."
- 095340 ISC | 산업:반도체와반도체장비 | 설립:- | 설명:"동사는 2001년 반도체 및 전자부품 검사장비의 소모품인 테스트 소켓 생산을 목적으로 설립되었으며, 2007년 코스닥에 상장함."
- 032500 케이엠더블유 | 산업:통신장비 | 설립:- | 설명:"동사는 1991년 설립되어 2000년 코스닥에 상장한 무선통신 기지국 장비 및 부품 전문 기업임."
- 207940 삼성바이오로직스 | 산업:제약 | 설립:- | 설명:"동사는 2011년 설립된 바이오의약품 CDMO 전문기업으로 2016년 유가증권시장에 상장함."
- 011200 HMM | 산업:해운사 | 설립:- | 설명:"동사는 1976년 설립된 종합해운물류기업으로, 1995년 유가증권시장에 상장하였으며, 국내외 34개 종속회사를 보유하고 있음."
- 042700 한미반도체 | 산업:반도체와반도체장비 | 설립:- | 설명:"동사는 1980년 반도체 자동화 장비의 제조 및 판매를 목적으로 설립되었으며, 2005년 유가증권시장에 상장하였음."
- 003230 삼양식품 | 산업:식품 | 설립:- | 설명:"동사는 1961년 설립된 식품 제조기업으로, 1975년 유가증권시장에 상장되었으며, 삼양제분, 삼양로지스틱스 등 15개 종속회사를 보유함."
- 064350 현대로템 | 산업:우주항공과국방 | 설립:- | 설명:"동사는 1977년 창립된 글로벌 종합기계 기업임. 2013년 유가증권시장 상장, 14개 비상장 종속회사 보유함."
- 950140 잉글우드랩 | 산업:화장품 | 설립:- | 설명:"동사는 2015년 설립된 미국 소재 화장품 ODM/OEM 전문 기업임."
- 068270 셀트리온 | 산업:제약 | 설립:- | 설명:"동사는 1991년 설립된 글로벌 생명공학 기업으로, 2023년 셀트리온헬스케어와의 합병을 통해 통합 법인 체제를 완성함."
- 000660 SK하이닉스 | 산업:반도체와반도체장비 | 설립:- | 설명:"동사는 1949년 설립되어 경기도 이천시 본사를 거점으로 4개 생산기지와 3개 연구개발법인 및 미국, 중국, 싱가포르 등에 판매법인을 운영하는 글로벌 반도체 기업임."
- 105560 KB금융 | 산업:은행 | 설립:- | 설명:"동사는 2008년 KB국민은행 등 8개사의 포괄적 주식이전을 통해 설립된 금융지주회사임."
- 005930 삼성전자 | 산업:반도체와반도체장비 | 설립:- | 설명:"동사는 1969년 설립된 글로벌 전자 기업으로, 309개의 종속기업을 보유하고 있음."
- 196170 알테오젠 | 산업:생물공학 | 설립:- | 설명:"동사는 2008년 설립된 바이오의약품 연구개발 및 판매 기업으로, 2014년 코스닥에 상장함."
- 051910 LG화학 | 산업:화학 | 설립:- | 설명:"동사는 2001년 (주)LG화학에서 분할 신설되었으며, 2020년 전지사업부문을 물적분할하여 (주)LG에너지솔루션을 설립함."
- 900140 엘브이엠씨홀딩스 | 산업:자동차 | 설립:- | 설명:"동사는 2009년 라오스 소재 사업자회사를 국내 유가증권시장에 상장하기 위해 케이먼제도에서 설립된 역외지주회사임."
- 240810 원익IPS | 산업:반도체와반도체장비 | 설립:- | 설명:"동사는 2016년 원익홀딩스의 반도체, Display, Solar Cell 장비 사업부문을 인적분할하여 설립되었음."
- 055550 신한지주 | 산업:은행 | 설립:- | 설명:"동사는 2001년 신한은행, 신한증권, 신한캐피탈, 신한투자신탁운용의 주주로부터 주식이전 방법으로 설립된 금융지주회사임."
- 012450 한화에어로스페이스 | 산업:우주항공과국방 | 설립:- | 설명:"동사는 1977년 삼성정밀공업으로 설립되어 2015년 한화그룹에 편입, 2022년 한화디펜스·한화방산을 흡수합병하며 종합 방산기업으로 성장함."
- 014990 인디에프 | 산업:섬유,의류,신발,호화품 | 설립:- | 설명:"동사는 1980년 의류 제조 및 판매를 위해 설립, 1989년 유가증권시장에 상장했음."
- 145020 휴젤 | 산업:생물공학 | 설립:- | 설명:"동사는 2001년 생물의학관련 제품의 개발, 제조, 판매 및 수출 등을 영위할 목적으로 설립되었으며, 2015년 코스닥시장에 상장됨."
- 035420 NAVER | 산업:양방향미디어와서비스 | 설립:- | 설명:"동사는 1999년 설립되었으며, 2013년 한게임 사업부문을 인적분할하여 존속법인은 네이버로, 신설법인은 구)엔에이치엔엔터테인먼트로 하였음."
- 357780 솔브레인 | 산업:반도체와반도체장비 | 설립:- | 설명:"동사는 2020년 솔브레인홀딩스㈜로부터 반도체, 디스플레이, 2차전지 전해액 및 전자 관련 화학 소재 제조사업부문을 인적분할하여 설립된 분할신설법인으로, 동년 코스닥시장에 상장함."
- 036930 주성엔지니어링 | 산업:반도체와반도체장비 | 설립:- | 설명:"동사는 1993년 설립되어 1999년 코스닥 상장된 반도체·태양광·디스플레이 제조장비 전문 기업임."
- 005380 현대차 | 산업:자동차 | 설립:- | 설명:"동사는 1967년 설립된 글로벌 자동차 제조 기업으로, 현대캐피탈, 현대카드 등 금융 계열사와 현대로템 등 166개 연결대상 종속회사를 보유하고 있음."
- 035720 카카오 | 산업:양방향미디어와서비스 | 설립:- | 설명:"동사는 1995년 주식회사 다음커뮤니케이션으로 설립되었으며, 2014년 주식회사 카카오와 합병 후 2015년 현재의 사명으로 변경하였음."
- 058470 리노공업 | 산업:반도체와반도체장비 | 설립:- | 설명:"동사는 1978년 창업 후 1996년 법인전환, 2001년 코스닥 상장한 중견기업임."
- 000270 기아 | 산업:자동차 | 설립:- | 설명:"동사는 1944년 설립된 완성차 제조 및 판매 기업으로, 현대자동차그룹 계열사임."
- NAS00208X-E0 엔비디아 | 산업:반도체제조,설비,관련서비스 | 설립:1993 | 설명:"전 세계적으로 GPU, AI 및 클라우드 기반 가상화 컴퓨팅 솔루션을 제공하는 대표적인 반도체 회사"
### description 있는 비율 31/31
### 첫 레코드 키: code,name,englishName,fullName,fullEnglishName,wics,industry,tics,description,jpDescription,establishDate,establishYear,listDate,delistDate,ceo,homepageUrl,logoImageUrl,createdAt,updatedAt,sharesOutstanding,marketValue,marketValueKrw,currency,comment
### 200개 배치 → 0개 반환
### 005930 tics ids: 77:스마트폰, 111:가전제품, 113:생활가전, 115:미세먼지가전, 117:냉방가전, 119:주방가전, 169:반도체, 203:스마트폰제조, 209:컴퓨터와 주변기기, 553:종합반도체
